acquisition_month,user_title,user_id,is_activated,is_quick_start,total_events,avg_satisfaction_score,activation_rate_pct,quick_start_rate_pct
2023-07,Associate,13,13,0,3.076923076923077,3.738827838827839,100.0,0.0
2023-07,Junior Associate,47,47,0,7.9361702127659575,4.020376484808439,100.0,0.0
2023-07,Partner,14,14,0,4.785714285714286,4.08999333999334,100.0,0.0
2023-07,Senior Associate,21,21,0,3.857142857142857,3.9659863945578233,100.0,0.0
2023-08,Associate,300,300,0,6.033333333333333,4.0533627369268235,100.0,0.0
2023-08,Junior Associate,396,396,0,6.287878787878788,4.094137397554534,100.0,0.0
2023-08,Partner,53,53,0,6.886792452830188,4.06224307332996,100.0,0.0
2023-08,Senior Associate,165,165,0,5.975757575757576,4.017632756110457,100.0,0.0
2023-10,Associate,2,2,0,92.5,4.194677871148459,100.0,0.0
2023-10,Junior Associate,7,7,0,7.714285714285714,3.9025810324129653,100.0,0.0
2023-10,Partner,1,1,0,12.0,4.333333333333333,100.0,0.0
2023-10,Senior Associate,3,3,0,1.3333333333333333,3.3333333333333335,100.0,0.0
2023-11,Associate,197,197,0,7.223350253807107,4.0876790926725395,100.0,0.0
2023-11,Junior Associate,338,338,0,7.8698224852071,4.089463342503873,100.0,0.0
2023-11,Partner,57,57,0,10.56140350877193,4.004643512757548,100.0,0.0
2023-11,Senior Associate,132,132,0,9.234848484848484,4.122053787533769,100.0,0.0
2023-12,Associate,32,32,0,8.28125,4.115639393456948,100.0,0.0
2023-12,Junior Associate,69,69,0,6.27536231884058,4.045470389665412,100.0,0.0
2023-12,Partner,22,22,0,8.590909090909092,4.039000721500721,100.0,0.0
2023-12,Senior Associate,33,33,0,6.606060606060606,4.05173904755948,100.0,0.0
2024-01,Associate,317,317,0,5.441640378548896,4.003931182699671,100.0,0.0
2024-01,Junior Associate,468,468,0,5.130341880341881,4.115922726362144,100.0,0.0
2024-01,Partner,63,63,0,3.5238095238095237,4.239833711262283,100.0,0.0
2024-01,Senior Associate,198,198,0,5.090909090909091,4.037626961532129,100.0,0.0
