user_id,cohort_month,user_title,months_since_signup,is_retained,events_count,active_days
99824c09352ea6bf6f4c83ecc8e82b96,2023-08,Associate,0,0,0,0
99824c09352ea6bf6f4c83ecc8e82b96,2023-08,Associate,1,0,0,0
99824c09352ea6bf6f4c83ecc8e82b96,2023-08,Associate,2,0,0,0
99824c09352ea6bf6f4c83ecc8e82b96,2023-08,Associate,3,0,0,0
99824c09352ea6bf6f4c83ecc8e82b96,2023-08,Associate,4,0,0,0
99824c09352ea6bf6f4c83ecc8e82b96,2023-08,Associate,5,0,0,0
659268ad56810b462b55e266e74efcff,2023-08,Junior Associate,0,0,0,0
659268ad56810b462b55e266e74efcff,2023-08,Junior Associate,1,0,0,0
659268ad56810b462b55e266e74efcff,2023-08,Junior Associate,2,0,0,0
659268ad56810b462b55e266e74efcff,2023-08,Junior Associate,3,0,0,0
659268ad56810b462b55e266e74efcff,2023-08,Junior Associate,4,0,0,0
659268ad56810b462b55e266e74efcff,2023-08,Junior Associate,5,0,0,0
a6c47669369032a6a9127e0b071abaca,2023-11,Senior Associate,0,0,0,0
a6c47669369032a6a9127e0b071abaca,2023-11,Senior Associate,1,0,0,0
a6c47669369032a6a9127e0b071abaca,2023-11,Senior Associate,2,0,0,0
a6c47669369032a6a9127e0b071abaca,2023-11,Senior Associate,3,0,0,0
a6c47669369032a6a9127e0b071abaca,2023-11,Senior Associate,4,0,0,0
a6c47669369032a6a9127e0b071abaca,2023-11,Senior Associate,5,1,5,2
d915f9bd040a242a8d99d2f45c8a2b61,2024-01,Associate,0,0,0,0
d915f9bd040a242a8d99d2f45c8a2b61,2024-01,Associate,1,0,0,0
d915f9bd040a242a8d99d2f45c8a2b61,2024-01,Associate,2,0,0,0
d915f9bd040a242a8d99d2f45c8a2b61,2024-01,Associate,3,1,2,2
d915f9bd040a242a8d99d2f45c8a2b61,2024-01,Associate,4,1,5,4
d915f9bd040a242a8d99d2f45c8a2b61,2024-01,Associate,5,1,5,2
4d3576509bdaa9837c588365f494d50b,2023-08,Associate,0,0,0,0
4d3576509bdaa9837c588365f494d50b,2023-08,Associate,1,0,0,0
4d3576509bdaa9837c588365f494d50b,2023-08,Associate,2,0,0,0
4d3576509bdaa9837c588365f494d50b,2023-08,Associate,3,0,0,0
4d3576509bdaa9837c588365f494d50b,2023-08,Associate,4,0,0,0
4d3576509bdaa9837c588365f494d50b,2023-08,Associate,5,0,0,0
a7fbe2bed76478ac7fbaf63d0db4002d,2023-07,Junior Associate,0,0,0,0
a7fbe2bed76478ac7fbaf63d0db4002d,2023-07,Junior Associate,1,0,0,0
a7fbe2bed76478ac7fbaf63d0db4002d,2023-07,Junior Associate,2,0,0,0
a7fbe2bed76478ac7fbaf63d0db4002d,2023-07,Junior Associate,3,0,0,0
a7fbe2bed76478ac7fbaf63d0db4002d,2023-07,Junior Associate,4,0,0,0
a7fbe2bed76478ac7fbaf63d0db4002d,2023-07,Junior Associate,5,0,0,0
1ef6cd5e982abb2e4edc85d61065ba57,2023-08,Junior Associate,0,0,0,0
1ef6cd5e982abb2e4edc85d61065ba57,2023-08,Junior Associate,1,0,0,0
1ef6cd5e982abb2e4edc85d61065ba57,2023-08,Junior Associate,2,0,0,0
1ef6cd5e982abb2e4edc85d61065ba57,2023-08,Junior Associate,3,0,0,0
1ef6cd5e982abb2e4edc85d61065ba57,2023-08,Junior Associate,4,0,0,0
1ef6cd5e982abb2e4edc85d61065ba57,2023-08,Junior Associate,5,0,0,0
451c75226f8055eb9f08f26830ed389c,2023-07,Senior Associate,0,0,0,0
451c75226f8055eb9f08f26830ed389c,2023-07,Senior Associate,1,0,0,0
451c75226f8055eb9f08f26830ed389c,2023-07,Senior Associate,2,0,0,0
451c75226f8055eb9f08f26830ed389c,2023-07,Senior Associate,3,0,0,0
451c75226f8055eb9f08f26830ed389c,2023-07,Senior Associate,4,0,0,0
451c75226f8055eb9f08f26830ed389c,2023-07,Senior Associate,5,0,0,0
3464d8fac8b63b762d303d197e4003ac,2023-11,Junior Associate,0,0,0,0
3464d8fac8b63b762d303d197e4003ac,2023-11,Junior Associate,1,0,0,0
3464d8fac8b63b762d303d197e4003ac,2023-11,Junior Associate,2,0,0,0
